systemCodeNumber,capacity,occupancy,lastUpdated,longitude,latitude
SystemCode_43,137,61,2023-07-05 12:19:01,80.52915871300979,77.26480178400661
SystemCode_33,94,85,2023-09-03 17:00:34,7.08837857360902,-49.071413370348765
SystemCode_5,91,21,2023-04-18 22:07:31,117.6348439509315,20.71216604739807
SystemCode_77,88,40,2023-06-21 03:54:35,-131.2185013776732,17.014443093932073
SystemCode_29,181,33,2023-05-20 05:22:21,88.46628808436992,24.06212084596976
SystemCode_33,159,67,2023-09-18 02:44:19,-104.6459555595198,-33.923477885513634
SystemCode_15,75,17,2023-12-21 04:33:54,164.43901284392774,55.06329239054239
SystemCode_76,145,14,2023-02-19 16:22:03,-49.793748309905425,32.38123418475398
SystemCode_62,198,125,2023-12-30 18:28:42,133.6976023974899,33.42262622280951
SystemCode_15,158,88,2023-04-04 06:54:54,-111.80286334898253,62.79157442009705
SystemCode_6,96,53,2023-12-30 18:13:13,76.60322205115784,67.31679001158685
SystemCode_37,126,43,2023-09-19 12:14:27,24.513193234998482,72.67386401927106
SystemCode_30,65,50,2023-07-14 21:50:40,90.77898354587717,-71.65033942526946
SystemCode_28,125,60,2023-03-04 16:31:22,65.26343222989078,43.84250910689525
SystemCode_82,57,18,2023-02-15 19:38:13,53.58100489058759,-49.71923070132411
SystemCode_49,52,2,2023-06-30 02:01:52,106.51571913132227,46.30576377927986
SystemCode_69,172,45,2023-10-16 19:27:00,-88.04633875406579,-51.57185583462663
SystemCode_77,139,37,2023-11-19 07:14:58,-104.11401015245053,4.72138412772712
SystemCode_79,96,78,2023-08-28 07:05:14,-28.49898337752677,-17.150234471934027
SystemCode_70,107,4,2023-04-26 07:09:48,104.53282742504922,75.73208057619019
SystemCode_6,189,20,2023-05-16 02:48:26,19.975380143942175,0.3632389957916615
SystemCode_98,116,84,2023-01-13 11:58:31,117.98202865363982,-85.22848650875366
SystemCode_19,174,84,2023-02-02 20:22:06,-166.38593102398116,8.719547976865726
SystemCode_46,128,70,2023-01-16 13:00:34,178.22827874308155,62.61953306532871
SystemCode_59,163,1,2023-04-09 08:41:51,-64.16749177712386,85.28455751826436
SystemCode_12,176,146,2023-04-01 03:03:45,-111.86362751981137,-85.33965058558542
SystemCode_3,181,138,2023-11-26 02:23:56,79.21289934329513,-26.500555823813798
SystemCode_71,52,39,2023-10-31 09:39:52,-125.13338776384535,-12.585952293983041
SystemCode_17,159,150,2023-12-11 14:21:56,-75.0913640705541,12.994629057398669
SystemCode_46,169,106,2023-03-17 22:08:56,-172.55435317090314,16.62436723637167
SystemCode_22,85,55,2023-07-16 13:54:50,-121.26654898742223,-72.37270000100057
SystemCode_80,54,39,2023-09-23 01:52:03,137.1354636873947,47.98372036895597
SystemCode_11,90,40,2023-07-25 16:53:52,-107.2985741442621,-57.65380178827565
SystemCode_34,154,118,2023-03-11 15:15:35,-163.97037184384422,-46.69178118557771
SystemCode_37,82,80,2023-12-21 01:24:24,71.64197159563642,45.68444609168742
SystemCode_96,116,6,2023-12-22 04:20:34,109.94532581230658,57.070988233898646
SystemCode_52,88,25,2023-07-20 17:07:50,120.49308710409088,45.834401737430454
SystemCode_32,123,75,2023-09-19 02:17:23,17.29264057959466,88.13555919744542
SystemCode_25,139,117,2023-12-17 00:26:57,-97.58952549255123,-54.51004647798887
SystemCode_73,98,96,2023-08-07 17:12:05,65.82597551853786,-17.013727233890137
SystemCode_12,192,83,2023-10-02 13:43:40,-170.68257305119818,-54.65720986255557
SystemCode_32,138,97,2023-03-07 09:33:37,-126.53504692736641,-87.26683076322992
